Merge ID	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin2	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Masuda2009_fin2 Duplicates	Wang2007_fin Duplicates	Wang2007_noglucose_fin Duplicates	Oberto2009_fin Duplicates	Wei2001_fin2 Duplicates	mRNA_Taniguchi_fin Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization	
P36771	1	1	1	1	1			1	6	1	1	1	1	1			1	A	LRHA_ECOLI	0.88	2	2	2	2			A	
P0AFC3	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	B	NUOA_ECOLI	6.62	2	2	2	2		8.070578836	B	
P0AFC7	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	NUOB_ECOLI	6	2	2	2	2		11.66003673	F1	
P33599	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	NUOCD_ECOLI	6.62	2	2	2	2		6.287468662	F1	
P0AFD1	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	NUOE_ECOLI	9.83	2	2	2	2		8.009589916	F1	
P31979	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	NUOF_ECOLI	7.13	2	2	2	2		1.356570869	F1	
P33602	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	F1	NUOG_ECOLI	7.82	2	2	2	2			F1	
P0AFD4	1	1	1	1	1			1	6	1	1	1	1	1			1	B	NUOH_ECOLI	6.26	2	2	2	2			B	
P0AFD6	1	1	1	1	1			1	6	1	1	1	1	1			1	F1	NUOI_ECOLI	9.81	2	2	2	2			F1	
P33607	1		1	1	1			1	5	1		1	1	1			1	B	NUOL_ECOLI			2	2	2			B	
P0AFE8	1		1	1	1			1	5	1		1	1	1			1	B	NUOM_ECOLI			2	2	2			B	
P0AFF0	1		1	1	1			1	5	1		1	1	1			1	B	NUON_ECOLI			2	2	2			B	
P76483	1		1	1	1				4	1		1	1	1				A	YFBM_ECOLI			0	0	0				
P38051	1		1	1	1			1	5	1		1	1	1			1	A	MENF_ECOLI			2	2	2			A	
P17109	1		1	1	1		1	1	6	1		1	1	1		1	1	A	MEND_ECOLI			2	2	2		0.498770426	A	
P37355	1		1	1	1				4	1		1	1	1				A	MENH_ECOLI			2	2	2				
P0ABU0	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	MENB_ECOLI	2.67	2	2	2	2			A	
P29208	1		1	1	1		1		5	1		1	1	1		1		A	MENC_ECOLI			2	2	2				
P37353	1		1	1	1				4	1		1	1	1				A	MENE_ECOLI			2	2	2				
P37590	1		1	1	1				4	1		1	1	1				A	PMRD_ECOLI			2	2	2				
P76473	1		1	1	1			1	5	1		1	1	1			1	B	ARNT_ECOLI			2	2				B	
P76472	1		1	1	1			1	5	1		1	1	1			1	A	ARND_ECOLI			2	2	2			A	
P77398	1		1	1	1		1	1	6	1		1	1	1		1	1	A	ARNA_ECOLI			2	2	2			A	
P77757	1		1	1	1			1	5	1		1	1	1			1	B	ARNC_ECOLI			2	2	2			B	
P45565	1		1	1	1	1		1	6	1		1	1	1	1		1	G	AIS_ECOLI			0	0	0	0		G	
P77808	1	1	1	1	1			1	6	1	1	1	1	1			1	A	CINAL_ECOLI	0	2	2	0	2			A	
P0A996	1		1	1	1		1		5	1		1	1	1		1		F1	GLPC_ECOLI			0	0	2				
P13033	1		1	1	1				4	1		1	1	1				F1	GLPB_ECOLI			2	0	2				
P0A9C0	1	1	1	1	1				5	1	1	1	1	1				F1	GLPA_ECOLI		2	0	0	2				
P09394	1	1	1	1	1	1		1	7	1	1	1	1	1	1		1	G	GLPQ_ECOLI	1.45	2	2	2	2	2		G	
P27294	1		1	1	1			1	5	1		1	1	1			1	A	INAA_ECOLI			2	2	2			A	
P0ABW3	1		1	1	1				4	1		1	1	1				A	YFAE_ECOLI			2	0	2				
P69924	1	1	1	1	1			1	6	1	1	1	1	1			1	B	RIR2_ECOLI	3.33	2	2	2	2			B	
P00452	1	1	1	1	1		1	1	7	1	1	1	1	1		1	1	A	RIR1_ECOLI	0.67	2	2	2	2		4.214056385	A	
