Merge ID	Orbi detected	Non Orbi detected	# Identified	
	2428	3312	Novel: 223	
Q6BF86	0	0	0	LDRA_ECOLI
P37388	0	0	0	XYLG_ECOLI
P68066	1	1	2	GRCA_ECOLI
P0ACF4	1	1	2	DBHB_ECOLI
P75616	0	1	1	YAAX_ECOLI
P64485	0	0	0	YEAQ_ECOLI
P00350	1	1	2	6PGD_ECOLI
P00363	1	1	2	FRDA_ECOLI
P00370	1	1	2	DHE4_ECOLI
P00393	1	1	2	DHNA_ECOLI
P00448	1	1	2	SODM_ECOLI
P00452	1	1	2	RIR1_ECOLI
P00490	1	1	2	PHSM_ECOLI
P00509	1	1	2	AAT_ECOLI
P00547	0	1	1	KHSE_ECOLI
P00550	1	1	2	PTM3C_ECOLI
P00561	1	1	2	AK1H_ECOLI
P00562	1	1	2	AK2H_ECOLI
P00579	1	1	2	RPOD_ECOLI
P00803	1	1	2	LEP_ECOLI
P00804	1	0	1	LSPA_ECOLI
P00805	1	1	2	ASPG2_ECOLI
P00811	1	0	1	AMPC_ECOLI
P00861	0	1	1	DCDA_ECOLI
P00864	1	1	2	CAPP_ECOLI
P00887	1	1	2	AROH_ECOLI
P00888	0	1	1	AROF_ECOLI
P00895	0	1	1	TRPE_ECOLI
P00903	1	0	1	PABA_ECOLI
P00904	0	1	1	TRPG_ECOLI
P00914	0	1	1	PHR_ECOLI
P00934	1	1	2	THRC_ECOLI
P00935	0	1	1	METB_ECOLI
P00944	1	1	2	XYLA_ECOLI
P00946	1	1	2	MANA_ECOLI
P00954	1	1	2	SYW_ECOLI
P00956	1	1	2	SYI_ECOLI
P00959	1	1	2	SYM_ECOLI
P00961	1	1	2	SYGB_ECOLI
P00962	1	1	2	SYQ_ECOLI
P00963	1	1	2	ASNA_ECOLI
P00968	1	1	2	CARB_ECOLI
P02358	1	1	2	RS6_ECOLI
P02359	1	1	2	RS7_ECOLI
P02413	1	1	2	RL15_ECOLI
P02916	1	1	2	MALF_ECOLI
P02918	1	1	2	PBPA_ECOLI
P02920	0	1	1	LACY_ECOLI
